sentence,category,type
Find the area of a sector of a circle with a radius of 15 cm and a central angle of 60 degrees.,Geometry,math
"Calculate the surface area of a rectangular prism with length 8 cm, width 6 cm, and height 4 cm.",Geometry,math
Determine the perimeter of a square with an area of 36 square units.,Geometry,math
"Find the area of a trapezium with bases 10 cm and 8 cm, and height 12 cm.",Geometry,math
Calculate the volume of a rectangular pyramid with base dimensions 5 cm by 7 cm and height 9 cm.,Geometry,math
Determine the circumference of an ellipse with major axis 10 units and minor axis 6 units.,Geometry,math
Find the area of a regular octagon with each side measuring 12 cm.,Geometry,math
Calculate the surface area of a cone with a radius of 5 cm and slant height of 13 cm.,Geometry,math
Determine the perimeter of a regular heptagon with each side measuring 8 cm.,Geometry,math
Find the area of a kite with diagonals of lengths 16 cm and 12 cm.,Geometry,math
Calculate the volume of a cylinder with a diameter of 8 cm and height of 15 cm.,Geometry,math
Determine the circumference of a quarter circle with a radius of 9 units.,Geometry,math
Find the area of a sector of a circle with a radius of 20 cm and a central angle of 45 degrees.,Geometry,math
Calculate the surface area of a sphere with a radius of 6 cm.,Geometry,math
Determine the perimeter of a rectangle with length 12 units and width 9 units.,Geometry,math
Find the volume of a triangular prism with base dimensions 6 cm by 8 cm and height 10 cm.,Geometry,math
Calculate the area of a semicircle with a diameter of 16 meters.,Geometry,math
Determine the volume of a cone with a radius of 7 cm and height of 11 cm.,Geometry,math
Find the area of a regular hexagon with each side measuring 14 cm.,Geometry,math
Calculate the perimeter of a parallelogram with base 18 cm and adjacent side 13 cm.,Geometry,math
"Determine the surface area of a rectangular prism with length 7 cm, width 5 cm, and height 12 cm.",Geometry,math
Find the volume of a pyramid with a square base of side length 9 cm and height 15 cm.,Geometry,math
Calculate the circumference of a quarter circle with a radius of 12 units.,Geometry,math
Determine the perimeter of a regular pentagon with each side measuring 10 cm.,Geometry,math
"Find the area of a trapezoid with bases 14 cm and 10 cm, and height 8 cm.",Geometry,math
Calculate the volume of a cylinder with a radius of 3 cm and height of 14 cm.,Geometry,math
Determine the circumference of an ellipse with major axis 12 units and minor axis 8 units.,Geometry,math
Find the area of a sector of a circle with a radius of 18 cm and a central angle of 90 degrees.,Geometry,math
"Calculate the surface area of a rectangular prism with length 11 cm, width 8 cm, and height 6 cm.",Geometry,math
Determine the perimeter of a square with an area of 64 square units.,Geometry,math
"Find the area of a trapezium with bases 16 cm and 12 cm, and height 10 cm.",Geometry,math
Calculate the volume of a rectangular pyramid with base dimensions 8 cm by 10 cm and height 13 cm.,Geometry,math
Determine the circumference of a semicircle with a diameter of 14 meters.,Geometry,math
Find the area of a regular octagon with each side measuring 16 cm.,Geometry,math
Calculate the surface area of a cone with a radius of 4 cm and slant height of 10 cm.,Geometry,math
Determine the perimeter of a regular heptagon with each side measuring 9 cm.,Geometry,math
Find the area of a kite with diagonals of lengths 18 cm and 24 cm.,Geometry,math
Calculate the volume of a cylinder with a diameter of 10 cm and height of 18 cm.,Geometry,math
Determine the circumference of a quarter circle with a radius of 15 units.,Geometry,math
Find the area of a sector of a circle with a radius of 25 cm and a central angle of 60 degrees.,Geometry,math
Calculate the surface area of a sphere with a radius of 8 cm.,Geometry,math
Determine the perimeter of a rectangle with length 15 units and width 10 units.,Geometry,math
Find the volume of a triangular prism with base dimensions 7 cm by 9 cm and height 14 cm.,Geometry,math
Calculate the area of a semicircle with a diameter of 20 meters.,Geometry,math
Determine the volume of a cone with a radius of 8 cm and height of 14 cm.,Geometry,math
Find the area of a regular hexagon with each side measuring 18 cm.,Geometry,math
Calculate the perimeter of a parallelogram with base 21 cm and adjacent side 15 cm.,Geometry,math
"Determine the surface area of a rectangular prism with length 9 cm, width 7 cm, and height 16 cm.",Geometry,math
Find the volume of a pyramid with a square base of side length 12 cm and height 20 cm.,Geometry,math
Calculate the circumference of a quarter circle with a radius of 18 units.,Geometry,math
Determine the perimeter of a regular pentagon with each side measuring 12 cm.,Geometry,math
"Find the area of a trapezoid with bases 18 cm and 14 cm, and height 12 cm.",Geometry,math
Calculate the volume of a cylinder with a radius of 5 cm and height of 20 cm.,Geometry,math
Determine the circumference of an ellipse  with major axis 15 units and minor axis 10 units.,Geometry,math
Find the area of a sector of a circle with a radius of 30 cm and a central angle of 45 degrees.,Geometry,math
"Calculate the surface area of a rectangular prism with length 13 cm, width 9 cm, and height 8 cm.",Geometry,math
Determine the perimeter of a square with an area of 100 square units.,Geometry,math
Find the volume of a rectangular pyramid with base dimensions 10 cm by 12 cm and height 16 cm.,Geometry,math
Calculate the area of a semicircle with a diameter of 24 meters.,Geometry,math
Determine the volume of a cone with a radius of 6 cm and height of 10 cm.,Geometry,math
Find the area of a regular octagon with each side measuring 20 cm.,Geometry,math
Calculate the surface area of a cone with a radius of 6 cm and slant height of 15 cm.,Geometry,math
Determine the perimeter of a regular heptagon with each side measuring 12 cm.,Geometry,math
Find the area of a kite with diagonals of lengths 20 cm and 16 cm.,Geometry,math
Calculate the volume of a cylinder with a diameter of 12 cm and height of 22 cm.,Geometry,math
Determine the circumference of a quarter circle with a radius of 21 units.,Geometry,math
Find the area of a sector of a circle with a radius of 35 cm and a central angle of 90 degrees.,Geometry,math
Calculate the surface area of a sphere with a radius of 10 cm.,Geometry,math
Determine the perimeter of a rectangle with length 18 units and width 12 units.,Geometry,math
Find the volume of a triangular prism with base dimensions 8 cm by 11 cm and height 18 cm.,Geometry,math
Calculate the area of a semicircle with a diameter of 28 meters.,Geometry,math
Determine the volume of a cone with a radius of 9 cm and height of 12 cm.,Geometry,math
Find the area of a regular hexagon with each side measuring 24 cm.,Geometry,math
Calculate the perimeter of a parallelogram with base 24 cm and adjacent side 17 cm.,Geometry,math
"Determine the surface area of a rectangular prism with length 12 cm, width 10 cm, and height 14 cm.",Geometry,math
Find the volume of a pyramid with a square base of side length 15 cm and height 24 cm.,Geometry,math
Calculate the circumference of a quarter circle with a radius of 24 units.,Geometry,math
Determine the perimeter of a regular pentagon with each side measuring 15 cm.,Geometry,math
"Find the area of a trapezoid with bases 20 cm and 16 cm, and height 14 cm.",Geometry,math
Calculate the volume of a cylinder with a radius of 7 cm and height of 25 cm.,Geometry,math
Determine the circumference of an ellipse with major axis 18 units and minor axis 12 units.,Geometry,math
Find the area of a sector of a circle with a radius of 40 cm and a central angle of 60 degrees.,Geometry,math
Find the sine of an angle in a right triangle with an opposite side of 4 units and a hypotenuse of 5 units.,Trigonometry,math
Calculate the cosine of an angle in a right triangle with an adjacent side of 3 units and a hypotenuse of 7 units.,Trigonometry,math
Determine the tangent of an angle in a right triangle with an opposite side of 6 units and an adjacent side of 8 units.,Trigonometry,math
Find the cosecant of an angle in a right triangle with a hypotenuse of 10 units and an adjacent side of 8 units.,Trigonometry,math
Calculate the secant of an angle in a right triangle with a hypotenuse of 13 units and an opposite side of 5 units.,Trigonometry,math
Determine the cotangent of an angle in a right triangle with an adjacent side of 12 units and an opposite side of 9 units.,Trigonometry,math
Find the value of sin(30 degrees).,Trigonometry,math
Calculate the value of cos(45 degrees).,Trigonometry,math
Determine the value of tan(60 degrees).,Trigonometry,math
Find the value of cosec(75 degrees).,Trigonometry,math
Calculate the value of sec(120 degrees).,Trigonometry,math
Determine the value of cot(150 degrees).,Trigonometry,math
Find the angle in a right triangle if sin(A) = 0.6.,Trigonometry,math
Calculate the angle in a right triangle if cos(B) = 0.8.,Trigonometry,math
Determine the angle in a right triangle if tan(C) = 1.5.,Trigonometry,math
Find the measure of an angle if cosec(D) = 2.,Trigonometry,math
Calculate the measure of an angle if sec(E) = 1.2.,Trigonometry,math
Determine the measure of an angle if cot(F) = 0.75.,Trigonometry,math
Find the value of sin^2(45 degrees).,Trigonometry,math
Calculate the value of cos^2(30 degrees).,Trigonometry,math
Determine the value of tan^2(60 degrees).,Trigonometry,math
Find the value of 1 + cot^2(30 degrees).,Trigonometry,math
Calculate the value of 1 - sin^2(60 degrees).,Trigonometry,math
Determine the value of sec^2(45 degrees).,Trigonometry,math
Find the angle between 0 and 360 degrees whose sine is -0.5.,Trigonometry,math
Calculate the angle between 0 and 360 degrees whose cosine is -0.8.,Trigonometry,math
Determine the angle between 0 and 360 degrees whose tangent is 2.,Trigonometry,math
Find the angle between 0 and 360 degrees whose cosecant is -1.5.,Trigonometry,math
Calculate the angle between 0 and 360 degrees whose secant is -1.2.,Trigonometry,math
Determine the angle between 0 and 360 degrees whose cotangent is -0.6.,Trigonometry,math
Find the value of sin(A + B) if sin(A) = 0.6 and sin(B) = 0.8.,Trigonometry,math
Calculate the value of cos(A - B) if cos(A) = 0.4 and cos(B) = 0.9.,Trigonometry,math
Determine the value of tan(A + B) if tan(A) = 1.5 and tan(B) = 0.6.,Trigonometry,math
Find the value of sin(2A) if sin(A) = 0.7.,Trigonometry,math
Calculate the value of cos(2B) if cos(B) = 0.5.,Trigonometry,math
Determine the value of tan(2C) if tan(C) = 1.2.,Trigonometry,math
Find the angle A if sin(A) = -0.4 and A is in the third quadrant.,Trigonometry,math
Calculate the angle B if cos(B) = -0.6 and B is in the second quadrant.,Trigonometry,math
Determine the angle C if tan(C) = 0.8 and C is in the fourth quadrant.,Trigonometry,math
Find the angle D if cosec(D) = -2 and D is in the third quadrant.,Trigonometry,math
Calculate the angle E if sec(E) = 1.5 and E is in the first quadrant.,Trigonometry,math
Determine the angle F if cot(F) = -0.9 and F is in the fourth quadrant.,Trigonometry,math
Find the value of sin(Ï€/4).,Trigonometry,math
Calculate the value of cos(Ï€/3).,Trigonometry,math
Determine the value of tan(Ï€/6).,Trigonometry,math
Find the value of cosec(3Ï€/4).,Trigonometry,math
Calculate the value of sec(5Ï€/6).,Trigonometry,math
Determine the value of cot(7Ï€/4).,Trigonometry,math
Find the angle in radians if sin(A) = 0.8.,Trigonometry,math
Calculate the angle in radians if cos(B) = 0.3.,Trigonometry,math
Determine the angle in radians if tan(C) = 1.2.,Trigonometry,math
Find the value of sin^2(Ï€/3).,Trigonometry,math
Calculate the value of cos^2(2Ï€/3).,Trigonometry,math
Determine the value of tan^2(Ï€/4).,Trigonometry,math
Find the angle A if sin(A) = -0.5 and A is in the fourth quadrant.,Trigonometry,math
Calculate the angle B if cos(B) = -0.7 and B is in the third quadrant.,Trigonometry,math
Determine the angle C if tan(C) = 0.6 and C is in the second quadrant.,Trigonometry,math
Find the angle D if cosec(D) = 1.2 and D is in the first quadrant.,Trigonometry,math
Calculate the angle E if sec(E) = -1.5 and E is in the fourth quadrant.,Trigonometry,math
Determine the angle F if cot(F) = -0.8 and F is in the third quadrant.,Trigonometry,math
Find the value of sin(A - B) if sin(A) = 0.6 and sin(B) = 0.8.,Trigonometry,math
Calculate the value of cos(A + B) if cos(A) = 0.4 and cos(B) = 0.9.,Trigonometry,math
Determine the value of tan(A - B) if tan(A) = 1.5 and tan(B) = 0.6.,Trigonometry,math
Find the value of sin(2A) if sin(A) = -0.7.,Trigonometry,math
Calculate the value of cos(2B) if cos(B) = 0.4.,Trigonometry,math
Determine the value of tan(2C) if tan(C) = -1.2.,Trigonometry,math
Find the angle A if sin(A) = 0.4 and A is in the second quadrant.,Trigonometry,math
Calculate the angle B if cos(B) = -0.5 and B is in the fourth quadrant.,Trigonometry,math
Determine the angle C if tan(C) = -0.8 and C is in the third quadrant.,Trigonometry,math
Find the angle D if cosec(D) = -1.5 and D is in the second quadrant.,Trigonometry,math
Calculate the angle E if sec(E) = 1.2 and E is in the first quadrant.,Trigonometry,math
Determine the angle F if cot(F) = 0.9 and F is in the fourth quadrant.,Trigonometry,math
Find the value of sin(Ï€/6 + Ï€/3).,Trigonometry,math
Calculate the value of cos(Ï€/4 - Ï€/6).,Trigonometry,math
Determine the value of tan(2Ï€/3 + Ï€/6).,Trigonometry,math
Find the value of sin(3Ï€/4 - Ï€/6).,Trigonometry,math
Calculate the value of cos(5Ï€/6 + Ï€/4).,Trigonometry,math
Determine the value of tan(7Ï€/6 - Ï€/3).,Trigonometry,math
Find the angle A if sin(A) = 0.5 and cos(A) > 0.,Trigonometry,math
Calculate the angle B if cos(B) = -0.4 and sin(B) < 0.,Trigonometry,math
Determine the angle C if tan(C) = 1.2 and sin(C) > 0.,Trigonometry,math
Find the angle D if cosec(D) = -1.5 and cos(D) < 0.,Trigonometry,math
Calculate the angle E if sec(E) = 1.2 and tan(E) < 0.,Trigonometry,math
Determine the angle F if cot(F) = 0.9 and cos(F) > 0.,Trigonometry,math
Find the value of sin(A + B) if sin(A) = 0.6 and cos(B) = 0.8.,Trigonometry,math
Calculate the value of cos(A - B) if cos(A) = 0.4 and sin(B) = 0.9.,Trigonometry,math
Determine the value of tan(A + B) if tan(A) = 1.5 and cot(B) = 0.6.,Trigonometry,math
Find the value of sin^2(30 degrees) + cos^2(30 degrees).,Trigonometry,math
Calculate the value of 1 + tan^2(45 degrees).,Trigonometry,math
Determine the value of cot^2(60 degrees) - cosec^2(60 degrees).,Trigonometry,math
Find the value of sin(2Ï€/3)cos(Ï€/3) + cos(2Ï€/3)sin(Ï€/3).,Trigonometry,math
Calculate the value of tan(Ï€/4)cos(Ï€/4) + cot(Ï€/4)sin(Ï€/4).,Trigonometry,math
Determine the value of sin(A)cos(A) + cos(A)sin(A).,Trigonometry,math
Find the value of cot(B)tan(B) - cosec(B)sec(B).,Trigonometry,math
Calculate the value of 2sin^2(C) - cos^2(C) + tan^2(C).,Trigonometry,math
Determine the value of 3sin^2(D) + 4cos^2(D) - 2tan^2(D).,Trigonometry,math
Find the value of sin(A + Ï€/6)cos(A - Ï€/6).,Trigonometry,math
Calculate the value of cos(2B)sin(Ï€/3) - tan(B)cot(2B).,Trigonometry,math
Determine the value of 5sin^2(C) + 3cos^2(C) - 2cot^2(C).,Trigonometry,math
Find the value of sec(D)tan(D) - cosec(D)cot(D) + sin^2(D).,Trigonometry,math
Find the derivative of f(x) = 3x^2 + 2x - 1 with respect to x.,Calculus,math
Calculate the derivative of g(x) = sin(x) - cos(x).,Calculus,math
Determine the derivative of h(x) = e^x + ln(x).,Calculus,math
"Find the slope of the tangent line to the curve y = 4x^3 - 2x^2 + 7x - 1 at the point (2, f(2)).",Calculus,math
Calculate the second derivative of f(x) = 2x^4 - 3x^3 + 5x^2 - 7x + 1.,Calculus,math
Determine the derivative of g(x) = sqrt(x^2 + 1).,Calculus,math
Find the derivative of h(x) = (3x + 1)^4.,Calculus,math
Calculate the derivative of f(x) = cos(2x) + sin(x).,Calculus,math
Determine the derivative of g(x) = ln(3x^2 + 2x + 1).,Calculus,math
Find the derivative of h(x) = e^(2x) * cos(x).,Calculus,math
"Calculate the slope of the tangent line to the curve y = ln(x) at the point (e, ln(e)).",Calculus,math
Determine the second derivative of f(x) = x^3 - 2x^2 + 5x - 4.,Calculus,math
Find the derivative of g(x) = tan(x) + cot(x).,Calculus,math
Calculate the derivative of h(x) = sqrt(4x^2 + 1).,Calculus,math
Determine the derivative of f(x) = 1/x.,Calculus,math
Find the derivative of g(x) = e^(3x) - 2sin(x).,Calculus,math
Calculate the second derivative of h(x) = ln(2x + 1).,Calculus,math
Determine the derivative of f(x) = sec(x).,Calculus,math
Find the derivative of g(x) = 2x^3 + 3x^2 - 4x + 5.,Calculus,math
Calculate the derivative of h(x) = e^(x^2) * cos(x).,Calculus,math
Determine the derivative of f(x) = ln(x^2 - 4x + 5).,Calculus,math
Find the derivative of g(x) = cos^2(x) - sin^2(x).,Calculus,math
"Calculate the slope of the tangent line to the curve y = e^(2x) at the point (0, f(0)).",Calculus,math
Determine the second derivative of h(x) = tan(x) + cot(x).,Calculus,math
Find the derivative of f(x) = sqrt(3x^2 - 2x + 1).,Calculus,math
Calculate the derivative of g(x) = ln(sin(x)).,Calculus,math
Determine the derivative of h(x) = e^(x) * sin(x).,Calculus,math
Find the derivative of f(x) = 1/(x^2 + 1).,Calculus,math
Calculate the second derivative of g(x) = cos(3x) + sin(2x).,Calculus,math
Determine the derivative of h(x) = tan(2x) - cot(x).,Calculus,math
Find the derivative of f(x) = e^(2x) * ln(x).,Calculus,math
Calculate the derivative of g(x) = 4x^3 - 5x^2 + 2x - 1.,Calculus,math
Determine the derivative of h(x) = sec^2(2x).,Calculus,math
"Find the slope of the tangent line to the curve y = ln(2x) at the point (1, f(1)).",Calculus,math
Calculate the second derivative of f(x) = cos^2(x) - sin^2(x).,Calculus,math
Determine the derivative of g(x) = sqrt(cos(x)).,Calculus,math
Find the derivative of h(x) = e^x * cos(2x).,Calculus,math
Calculate the derivative of f(x) = tan(x) - cot(x).,Calculus,math
Determine the derivative of g(x) = ln(e^x + 1).,Calculus,math
Find the derivative of h(x) = sqrt(e^(2x) - 1).,Calculus,math
Calculate the second derivative of f(x) = 1/x^2.,Calculus,math
Determine the derivative of g(x) = cos(2x) * sin(x).,Calculus,math
Find the derivative of h(x) = 3x^4 + 2x^3 - 5x^2 + 7x - 1.,Calculus,math
"Calculate the slope of the tangent line to the curve y = e^x * ln(x) at the point (1, f(1)).",Calculus,math
Determine the derivative of f(x) = sqrt(2x^2 - 4x + 3).,Calculus,math
Find the derivative of g(x) = ln(cos(x)).,Calculus,math
Calculate the second derivative of h(x) = 4e^x - 2sin(x).,Calculus,math
Determine the derivative of f(x) = tan^2(x) - sec^2(x).,Calculus,math
Find the derivative of g(x) = e^(3x) * sin(2x).,Calculus,math
Calculate the derivative of h(x) = sqrt(ln(x)).,Calculus,math
Determine the derivative of f(x) = 1/(x^3 + 1).,Calculus,math
Find the derivative of g(x) = cos(x) * e^(2x).,Calculus,math
"Calculate the slope of the tangent line to the curve y = ln(x^2) at the point (1, f(1)).",Calculus,math
Determine the derivative of h(x) = e^(2x) * tan(x).,Calculus,math
Find the derivative of f(x) = sqrt(cos(x) - sin(x)).,Calculus,math
Calculate the second derivative of g(x) = 3x^4 - 4x^3 + 5x^2 - 2x + 1.,Calculus,math
Determine the derivative of h(x) = cot(2x) + tan(x).,Calculus,math
Find the derivative of g(x) = e^(x^2) * cos(3x).,Calculus,math
Calculate the derivative of h(x) = ln(x^2 + 2x + 1).,Calculus,math
Determine the derivative of f(x) = e^(3x) * ln(x).,Calculus,math
Find the derivative of g(x) = 2x^3 - 3x^2 + 4x - 5.,Calculus,math
Calculate the slope of the tangent line to the curve y = cos^2(x) + sin^2(x) at any point.,Calculus,math
Determine the second derivative of h(x) = sec(x) * tan(x).,Calculus,math
Find the derivative of f(x) = sqrt(1 - e^(2x)).,Calculus,math
Calculate the derivative of g(x) = cos^3(x) - sin^3(x).,Calculus,math
Determine the derivative of h(x) = ln(cos(x) + 1).,Calculus,math
Find the derivative of f(x) = tan^2(x) + cot^2(x).,Calculus,math
Calculate the second derivative of g(x) = e^(2x) * sin(x) - cos(x).,Calculus,math
Determine the derivative of h(x) = sqrt(tan(x) + cot(x)).,Calculus,math
Find the derivative of g(x) = 4x^4 - 5x^3 + 2x^2 - 3x + 1.,Calculus,math
"Calculate the slope of the tangent line to the curve y = ln(1/x) at the point (e, f(e)).",Calculus,math
Determine the second derivative of f(x) = cos(2x) * e^(3x).,Calculus,math
Find the derivative of g(x) = 1/(sin(x) + cos(x)).,Calculus,math
Calculate the derivative of h(x) = sqrt(1 + e^(2x)).,Calculus,math
Determine the derivative of f(x) = sec^3(x).,Calculus,math
Find the derivative of g(x) = 3x^2 - 4x + 2.,Calculus,math
"Calculate the slope of the tangent line to the curve y = e^(2x) * sin(x) at the point (0, f(0)).",Calculus,math
Determine the second derivative of h(x) = ln(2x) * tan(x).,Calculus,math
Find the derivative of f(x) = e^x * cos(x).,Calculus,math
Calculate the derivative of g(x) = ln(3x).,Calculus,math
Determine the derivative of h(x) = tan^2(x) + sec^2(x).,Calculus,math
Find the derivative of f(x) = sqrt(2x + 1).,Calculus,math
Calculate the second derivative of g(x) = cos(2x) - sin(x).,Calculus,math
Determine the derivative of h(x) = 1/(e^x + 1).,Calculus,math
Find the derivative of f(x) = 4x^3 - 2x^2 + 7x - 1.,Calculus,math
"Calculate the slope of the tangent line to the curve y = ln(e^x + 1) at the point (0, f(0)).",Calculus,math
Determine the second derivative of g(x) = 2sin(x) - cos(2x).,Calculus,math
Find the derivative of h(x) = e^x * sin(2x).,Calculus,math
Calculate the derivative of f(x) = sqrt(cos(x) + 1).,Calculus,math
Determine the derivative of g(x) = 1/(x^2 + 2x + 1).,Calculus,math
Find the derivative of h(x) = tan^2(2x) - sec^2(x).,Calculus,math
Calculate the second derivative of f(x) = e^(3x) * cos(x).,Calculus,math
Determine the derivative of g(x) = sin(x) * e^x.,Calculus,math
Find the derivative of h(x) = sqrt(tan(x) - cot(x)).,Calculus,math
Calculate the derivative of f(x) = 1/(1 + e^x).,Calculus,math
Determine the derivative of g(x) = ln(2x + 1) * tan(x).,Calculus,math
Find the derivative of h(x) = cos^2(x) - sin^2(x).,Calculus,math
"Calculate the slope of the tangent line to the curve y = e^(2x) * ln(x) at the point (1, f(1)).",Calculus,math
Determine the second derivative of f(x) = 2x^4 - 3x^3 + 5x^2 - 7x + 1.,Calculus,math
Find the derivative of g(x) = 1/(1 + e^(-x)).,Calculus,math
"Calculate the mean of the following data set: [10, 15, 20, 25, 30].",Statistics and Probability,math
"Find the median of the data set: [12, 18, 24, 30, 36].",Statistics and Probability,math
"Calculate the mode of the data set: [8, 12, 14, 8, 16, 18, 12].",Statistics and Probability,math
"Determine the range of the data set: [5, 10, 15, 20, 25].",Statistics and Probability,math
"Calculate the standard deviation of the data set: [7, 9, 11, 13, 15].",Statistics and Probability,math
"Find the variance of the data set: [3, 6, 9, 12, 15].",Statistics and Probability,math
"Calculate the interquartile range for the data set: [17, 22, 28, 35, 41].",Statistics and Probability,math
"Determine the coefficient of variation for the data set: [24, 30, 36, 42, 48].",Statistics and Probability,math
"Find the 75th percentile for the data set: [14, 18, 22, 26, 30].",Statistics and Probability,math
"Calculate the correlation coefficient for two variables: X = [2, 4, 6, 8, 10] and Y = [5, 7, 9, 11, 13].",Statistics and Probability,math
"Determine the skewness of the data set: [2, 4, 4, 6, 8].",Statistics and Probability,math
"Calculate the kurtosis of the data set: [1, 2, 2, 2, 3].",Statistics and Probability,math
"Find the harmonic mean of the data set: [5, 10, 20, 40, 80].",Statistics and Probability,math
"Determine the geometric mean for the data set: [2, 4, 8, 16, 32].",Statistics and Probability,math
"Calculate the covariance between two variables: X = [1, 2, 3, 4, 5] and Y = [2, 4, 6, 8, 10].",Statistics and Probability,math
"Find the 90th percentile for the data set: [18, 24, 30, 36, 42].",Statistics and Probability,math
Calculate the probability of randomly selecting an even number from a standard deck of 52 playing cards.,Statistics and Probability,math
Determine the probability of rolling a sum of 7 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing an ace or a spade from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of getting tails on a fair coin flip.,Statistics and Probability,math
Determine the probability of rolling an even number on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a red card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of selecting a vowel from the English alphabet.,Statistics and Probability,math
Determine the probability of rolling a sum greater than 9 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a face card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a prime number from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 3 or a 5 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a heart or a queen from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 3 from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling an odd number on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a black card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a consonant from the English alphabet.,Statistics and Probability,math
Determine the probability of rolling a sum of 10 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a spade or a 10 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting an odd number from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 6 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a non-face card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 5 from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum of 11 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a club or a 9 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a perfect square from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 2 or a 4 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a non-face card or a red card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a composite number from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum less than 5 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a face card or a spade from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a prime number from the first 20 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 1 or a 6 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a red card or a 7 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 4 from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum of 8 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a heart or a king from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 7 from the first 20 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 3 or a 6 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a non-face card or a black card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a perfect cube from the first 10 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum of 9 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a diamond or an 8 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 6 from the first 20 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 4 or a 5 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a face card or a heart from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a prime number from the first 30 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum of 12 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a spade or a 6 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 8 from the first 20 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 2 or a 3 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a non-face card or a red card from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 9 from the first 30 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum of 7 or 11 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a black card or a 5 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a prime number from the first 40 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 1 or a 2 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a face card or a club from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 10 from the first 30 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a sum of 10 or 12 with two six-sided dice.,Statistics and Probability,math
Find the probability of drawing a red card or a 9 from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a composite number from the first 40 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 3 or a 4 on a six-sided die.,Statistics and Probability,math
Find the probability of drawing a non-face card or a spade from a standard deck of 52 playing cards.,Statistics and Probability,math
Calculate the probability of randomly selecting a multiple of 11 from the first 40 natural numbers.,Statistics and Probability,math
Determine the probability of rolling a 5 or a 6 on a six-sided die.,Statistics and Probability,math
